bike_age,kms_clipped,power_bhp_clipped,mileage_kmpl_clipped,cc,owner_first,owner_fourth_or_more,owner_second,owner_third,brand_Bajaj,brand_Benelli,brand_Harley-Davidson,brand_Hero,brand_Honda,brand_Hyosung,brand_Jawa,brand_Kawasaki,brand_Ktm,brand_Other,brand_Royal,brand_Suzuki,brand_Triumph,brand_Tvs,brand_Um,brand_Yamaha,price
5,1475.0,20.78,45.8,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,173300
6,28.0,34.5,28.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,157600
10,14300.0,19.8,35.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,100000
9,28000.0,19.8,40.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,82050
7,42.0,23.2,42.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,65000
7,42.0,23.2,42.0,,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,56000
9,30000.0,21.0,38.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,70000
9,25000.0,20.0,48.0,223.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,46992
6,11000.0,25.0,35.0,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,115000
9,2500.0,19.8,35.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,117000
8,16781.0,19.8,25.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,112500
12,65.0,14.85,65.0,150.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29100
8,26000.0,24.8,35.0,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,77815
10,45.0,17.2,45.0,180.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,44000
7,18000.0,12.9,52.0,150.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,74700
6,7000.0,19.8,35.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,170000
6,2300.0,19.8,35.0,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,195000
6,12000.0,14.3,,125.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,135000
10,4600.0,29.1,26.0,535.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,135000
11,28912.0,25.0,35.0,200.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,93999
9,7800.0,19.0,53.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,60000
8,37000.0,12.375,65.0,125.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,32250
15,70000.0,17.0,,223.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,19215
9,50000.0,19.0,40.0,220.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,51000
7,85000.0,16.1,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,55000
16,65.0,14.85,65.0,150.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14000
4,3500.0,33.0,22.0,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,249000
9,3400.0,42.3,26.0,390.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,150000
5,6500.0,8.1,89.0,100.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,55000
8,36500.0,12.0,57.0,125.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,55000
5,3500.0,25.1,35.0,200.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,215000
7,4900.0,19.8,35.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,165000
6,14500.0,19.8,35.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,157000
5,6000.0,19.1,35.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,210000
6,8000.0,19.8,,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,160000
11,65.0,10.0,65.0,125.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,47000
7,3600.0,19.0,35.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,115000
